start_time,end_time,duration,asleep,soothing
2020-02-23T21:20:30,2020-02-24T00:24:23,11033,10932,101
2020-02-24T01:12:02,2020-02-24T04:11:42,10780,10780,0
2020-02-24T05:37:11,2020-02-24T05:43:02,351,351,0
2020-02-24T13:33:34,2020-02-24T16:24:33,10259,9227,1032
2020-02-24T23:36:56,2020-02-25T04:40:35,18219,18219,0
2020-02-25T05:32:02,2020-02-25T06:20:14,2892,2407,485
2020-02-25T18:50:00,2020-02-25T22:22:39,12759,12244,515
2020-02-25T23:29:40,2020-02-26T03:09:50,13210,13161,49
2020-02-26T05:09:17,2020-02-26T07:15:20,7563,7563,0
2020-02-26T10:37:41,2020-02-26T13:35:14,10653,10653,0
2020-02-26T16:38:27,2020-02-26T17:18:48,2421,1959,462
2020-02-26T20:54:55,2020-02-26T23:54:14,10759,10691,68
2020-02-27T00:44:54,2020-02-27T05:09:53,15899,15353,546
2020-02-27T21:31:30,2020-02-28T01:52:58,15688,15659,29
2020-02-28T03:02:57,2020-02-28T04:59:29,6992,6813,179
2020-02-28T10:53:24,2020-02-28T13:27:17,9233,9228,5
2020-02-28T22:14:56,2020-02-29T01:09:19,10463,10361,102
2020-02-29T02:12:29,2020-02-29T05:57:12,13483,13414,69
2020-02-29T09:45:21,2020-02-29T12:20:02,9281,9281,0
2020-02-29T16:29:11,2020-02-29T16:51:49,1358,997,361
2020-03-02T00:36:42,2020-03-02T05:08:58,16336,15120,1216
2020-03-02T09:55:45,2020-03-02T10:59:18,3813,3312,501
2020-03-02T15:01:23,2020-03-02T15:27:01,1538,1458,80
2020-03-02T21:30:49,2020-03-03T00:38:20,11251,11251,0
2020-03-03T01:41:17,2020-03-03T05:04:10,12173,12173,0
2020-03-03T05:08:35,2020-03-03T05:44:19,2144,2144,0
2020-03-03T05:45:18,2020-03-03T05:53:03,465,465,0
2020-03-03T22:20:48,2020-03-04T01:17:47,10619,10619,0
2020-03-04T02:20:04,2020-03-04T05:22:30,10946,10615,331
2020-03-04T20:59:13,2020-03-05T04:50:52,28299,28299,0
2020-03-05T21:29:14,2020-03-06T00:23:57,10483,10483,0
2020-03-06T01:23:51,2020-03-06T04:29:07,11116,10636,480
2020-03-06T05:16:13,2020-03-06T06:04:04,2871,2825,46
2020-03-06T21:48:44,2020-03-07T00:20:51,9127,9127,0
2020-03-07T01:11:22,2020-03-07T04:39:21,12479,12409,70
2020-03-07T21:35:49,2020-03-08T01:59:35,15826,15826,0
2020-03-08T03:53:27,2020-03-08T07:25:56,12749,12749,0
2020-03-08T22:06:03,2020-03-09T01:34:59,12536,12486,50
2020-03-09T03:03:32,2020-03-09T06:17:41,11649,11443,206
2020-03-09T22:05:30,2020-03-10T03:49:15,20625,20625,0
2020-03-10T05:15:25,2020-03-10T07:51:52,9387,9376,11
2020-03-10T22:06:42,2020-03-11T05:24:23,26261,26205,56
2020-03-11T06:17:50,2020-03-11T07:03:03,2713,2713,0
2020-03-11T21:58:40,2020-03-11T22:01:04,144,144,0
2020-03-11T22:06:52,2020-03-12T02:11:37,14685,14685,0
